id,kentAtlasiDegeriKodu,kentAtlasiDegeri,gecirimsizlikKatmani,tucbsNo,aciklama,gecerlilikBaslangici,gecerlilikSonu,gozlemTarihi,hilucsAraziKullanimi,hilucsDurumu,olcek,surumBaslangicZamani,surumBitisZamani,total_population,estimated_water_supply,population_pressure,urban_water_stress_score
sehirAtlasi.914,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976615,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5326140693335518,0.0,0.0
sehirAtlasi.915,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),8,CBSGM_1_7976616,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5351763882880297,0.0,0.0
sehirAtlasi.916,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976617,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.5344967862153567,0.0,0.0
sehirAtlasi.917,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976618,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2258971185438345,0.0,0.0
sehirAtlasi.918,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976619,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2225208191373254,0.0,0.0
sehirAtlasi.919,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976620,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.223212529466156,0.0,0.0
sehirAtlasi.920,22000,Sürekli Ürünler,0,CBSGM_1_7976621,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.227538753916006,0.0,0.0
sehirAtlasi.921,32000,Maki veya Otsu Bitkiler,0,CBSGM_1_7976622,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2224039245004334,0.0,0.0
sehirAtlasi.922,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976623,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.22150991325424,0.0,0.0
sehirAtlasi.924,50000,Su Alanları,0,CBSGM_1_7976625,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2163585339233676,0.0,0.0
sehirAtlasi.877,12130,Kamu Alanları,14,CBSGM_1_8933246,,2019-12-16 00:00:00+00:00,,,,,1:10000,,,0.0,0.8055405976404074,0.0,0.0
sehirAtlasi.925,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),0,CBSGM_1_7976626,,2019-11-15 00:00:00+00:00,,,,,1:10000,,,0.0,1.3223628733930017,0.0,0.0
sehirAtlasi.926,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976627,,2019-11-15 00:00:00+00:00,,,,,1:10000,,,0.0,1.337236515989081,0.0,0.0
