id_1,adi,id_2,akifer,groundwater_sensitivity,id,istno,last1month,last3month,last6month,last12month,last24month,last9month,drought_severity,area,agricultural_area_pressure,drought_norm,groundwater_norm,final_water_stress_score,agricultural_water_stress_score
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.42878,Verimli,0.8,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,62424.57124169314,0.00017993656477183713,0.7999999999999999,1.0,0.7100359873129544,0.7100359873129544
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.94585,Sınırlı Verimli,0.5,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,160187.5151724327,0.0004626420734087682,0.7462962962962962,0.4999999999999999,0.510925861748015,0.510925861748015
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.94585,Sınırlı Verimli,0.5,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,160187.5151724327,0.0004626420734087682,0.7999999999999999,0.4999999999999999,0.5350925284146817,0.5350925284146817
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.94849,Sınırlı Verimli,0.5,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,19067063.662279986,0.05513650747674846,0.7462962962962962,0.4999999999999999,0.521860634828683,0.521860634828683
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.94849,Sınırlı Verimli,0.5,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,19067063.662279986,0.05513650747674846,0.7999999999999999,0.4999999999999999,0.5460273014953496,0.5460273014953496
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.95093,Sınırlı Verimli,0.5,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,24139411.071986526,0.06980444296220413,0.7462962962962962,0.4999999999999999,0.5247942219257741,0.5247942219257741
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.95093,Sınırlı Verimli,0.5,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,24139411.071986526,0.06980444296220413,0.7999999999999999,0.4999999999999999,0.5489608885924407,0.5489608885924407
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.95095,Sınırlı Verimli,0.5,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,13542275.291009277,0.039160228082809466,0.7462962962962962,0.4999999999999999,0.5186653789498952,0.5186653789498952
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.95095,Sınırlı Verimli,0.5,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,13542275.291009277,0.039160228082809466,0.7999999999999999,0.4999999999999999,0.5428320456165618,0.5428320456165618
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.95296,Verimli,0.8,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,17949874.2805311,0.05190588061842828,0.7462962962962962,1.0,0.6962145094570189,0.6962145094570189
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.95296,Verimli,0.8,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,17949874.2805311,0.05190588061842828,0.7999999999999999,1.0,0.7203811761236856,0.7203811761236856
isletmesinirlari.88,SULTANSUYU TİM,akifersinirlari.97772,Verimli,0.8,spikuraklikindeks.38.3367.38.217300000000002,17199,-0.84,-1.42,-0.18,-1.33,-0.42,-0.73,0.7216666666666667,8368614.702285433,0.024199320713998877,0.6907407407407408,1.0,0.6656731974761332,0.6656731974761332
isletmesinirlari.88,SULTANSUYU TİM,akifersinirlari.97826,Sınırlı Verimli,0.5,spikuraklikindeks.38.3367.38.217300000000002,17199,-0.84,-1.42,-0.18,-1.33,-0.42,-0.73,0.7216666666666667,12820638.303019335,0.03707343789893928,0.6907407407407408,0.4999999999999999,0.4932480209131212,0.4932480209131212
isletmesinirlari.89,SULTANSUYU1 TİM,akifersinirlari.97826,Sınırlı Verimli,0.5,spikuraklikindeks.38.3367.38.217300000000002,17199,-0.84,-1.42,-0.18,-1.33,-0.42,-0.73,0.7216666666666667,23677844.729689687,0.06846971077920891,0.6907407407407408,0.4999999999999999,0.49952727548917514,0.49952727548917514
